Code,Genus,Species,Name,Habitat,Type,HabitatType,Forest,Gmin,TLP,LA,SLA,LSWC,MajVLA,MidribWidth,SecundaryWidth,TreeHeight,TreeDawkins,TWI
2,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,TFTF,Paracou,-0.197935108372558,-0.647856884700138,3.98516074912591,4.75238513308218,0.610921389560859,1.54414732189655,-2.81185637537473,-3.61426672365784,2.39789527279837,2,1.76273736778687
7,Licania,membranacea,Licania_membranacea,TF,TF,TFTF,Paracou,1.18328314070934,-0.666492582033291,3.70285180131622,4.31885277269951,0.216567635506844,0.98394339902167,-3.15650761809749,-4.04037753544481,2.99573227355399,4,2.09482516956428
13,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,TFTF,Paracou,1.52998551099555,-0.279279998679824,3.88547526760097,4.28610209906888,0.456534463406211,1.45261262569913,-3.77440104683798,-3.94588128217813,3.46573590279973,5,1.74191194500045
14,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,TFTF,Paracou,1.10049005788879,-0.294274668457004,3.47851445509028,3.91670938782136,0.456820396854246,1.47943856051771,-3.87424564109412,-4.61757986856905,3.40119738166216,4,1.74191194500045
15,Casearia,javitensis,Casearia_javitensis,TF,TF,TFTF,Paracou,0.798638326185306,-0.705716603348006,4.57869718110619,4.57013395044571,0.0388927104958097,1.18812448045651,-2.35351003417934,-3.21229328738308,2.30258509299405,3,1.76273736778687
29,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,TFTF,Paracou,0.583452017209518,-0.687804182131581,4.35754976573626,4.89969407275967,0.249114628245045,1.42725058663076,-2.0921553568007,-3.01997373792703,2.83321334405622,2,1.71257991781684
30,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,TFTF,Paracou,0.822001502722305,-0.668541939152601,4.63081238822588,5.35730954846737,0.47263663626523,1.61373446900136,-2.09939938102078,-3.39070264456951,2.77258872223978,3,2.09482516956428
33,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,TFTF,Paracou,0.727665122228278,-0.649944750884033,3.83675653769116,4.80381438661896,0.81227363512694,1.63472976008142,-3.22795862388595,-3.59648260484797,2.99573227355399,3,2.08986891343387
50,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,TFTF,Paracou,-0.155029013782951,-0.756668778556407,4.03860739283757,5.15579106709112,0.477956335683028,1.70377652951508,-3.06406464893082,-4.05430687519057,2.484906649788,3,2.07338742871488
51,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,TFTF,Paracou,1.94640480526418,-0.472391401247851,4.02935991689457,4.69178392481168,0.447248626252072,1.49599437253156,-3.60883675874809,-4.09895517477978,2.70805020110221,3,2.07338742871488
74,Licania,membranacea,Licania_membranacea,TF,TF,TFTF,Paracou,1.20991291587864,-0.662381225001929,4.6882857317577,5.42121378232949,0.455988074651912,1.38225596777519,-2.31036528031301,-3.30056050484074,3.09104245335832,3,2.25681953144898
94,Licania,membranacea,Licania_membranacea,TF,TF,TFTF,Paracou,1.36802785213962,-0.643668029093267,4.15250982241716,4.75911240157692,0.371892391474086,1.5806171557699,-2.65812971884017,-3.32641454442397,3.04452243772342,2,2.36459155492363
96,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,TFTF,Paracou,2.604264075072,-0.463634954721937,3.35127892148389,4.47859937428874,0.459256052612369,2.10633392811458,-3.21823020832342,-4.54431029773133,3.25809653802148,3,1.90904201818038
98,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,TFTF,Paracou,-0.388630837910399,-0.469897373600805,3.62360547741002,4.62708942098656,0.420445985696618,2.17756265347418,-3.17123710907537,-4.54650795899771,2.77258872223978,2,1.75280998089
